Key,English,German,Turkish,Italian,French,Polish,Norwegian,Portuguese,Portuguese (Brazil),Castilian Spanish,Spanish (Latin America),Russian,Arabic,Japanese,Korean,Chinese (Simplified),Chinese (Traditional)
Card.Card_Momentum_Shield.Desc,"At 3x combo or higher, an unplaceable shape vanishes instead of ending the run. Your combo drops to minimum.","Ab 3x Combo verschwindet eine unplatzierbare Form, statt den Lauf zu beenden. Dein Combo fällt auf das Minimum.","Kombon 3x veya üstündeyken yerleştirilemeyen şekil turu bitirmez, yok olur. Kombon en düşük değere iner.","Con combo 3x o più, una forma non piazzabile svanisce invece di finire la run. Il combo scende al minimo.","À partir de 3x combo, une forme improuvable disparaît au lieu de terminer la partie. Votre combo tombe au minimum.",Przy kombo 3x lub wyższym kształt bez miejsca znika zamiast kończyć grę. Kombo spada do minimum.,"Ved 3x kombo eller mer forsvinner en brikke som ikke passer, i stedet for at runden slutter. Komboen faller til minimum.","Com combo 3x ou mais, uma forma sem espaço desaparece em vez de terminar a jornada. O combo desce ao mínimo.","Com combo 3x ou mais, uma forma sem espaço desaparece em vez de terminar a jornada. O combo desce ao mínimo.","Con combo 3x o más, una figura que no cabe desaparece en vez de terminar la partida. Tu combo baja al mínimo.","Con combo 3x o más, una pieza que no cabe desaparece en vez de terminar la partida. Tu combo baja al mínimo.",При комбо 3x и выше неразмещаемая фигура исчезает вместо конца забега. Комбо падает до минимума.,,コンボ 3x 以上なら、置けないブロックはゲーム終了ではなく消滅します。コンボは最小値まで下がります。,콤보 3x 이상이면 놓을 수 없는 블록이 게임을 끝내는 대신 사라집니다. 콤보는 최솟값으로 떨어집니다.,连击达 3x 以上时，无法放置的方块会消失而非结束游戏。连击降至最低值。,連擊達 3x 以上時，無法放置的方塊會消失而非結束遊戲。連擊降至最低值。
Card.Card_Neon_Cable.Name,Neon Cable,Neonkabel,Neon Kablo,Cavo al neon,Câble néon,Neonowy kabel,Neonkabel,Cabo de néon,Cabo de néon,Cable de neón,Cable de neón,Неоновый кабель,,ネオンケーブル,네온 케이블,霓虹电缆,霓虹電纜
Card.Card_Neon_Cable.Desc,Two linked tiles appear on the board. Clearing one detonates the other and its neighbours for score. They move with every new draw.,"Zwei verbundene Felder erscheinen. Wird eines geräumt, explodiert das andere samt Umgebung und gibt Punkte. Sie wechseln bei jedem neuen Satz.",Tahtada birbirine bağlı iki hücre belirir. Birini temizlemek diğerini ve çevresini puan vererek patlatır. Her yeni şekil çekilişinde yer değiştirirler.,Appaiono due celle collegate. Pulirne una fa esplodere l'altra e le vicine dando punti. Cambiano a ogni nuova estrazione.,Deux cases reliées apparaissent. En nettoyer une fait exploser l'autre et ses voisines pour des points. Elles changent à chaque nouveau tirage.,"Pojawiają się dwa połączone pola. Wyczyszczenie jednego wysadza drugie wraz z sąsiadami, dając punkty. Zmieniają się przy każdym losowaniu.","To sammenkoblede ruter dukker opp. Fjerner du den ene, eksploderer den andre med naboene og gir poeng. De flytter seg ved hvert nye trekk.","Aparecem duas células ligadas. Limpar uma faz explodir a outra e as vizinhas, dando pontos. Mudam a cada novo conjunto.","Aparecem duas células ligadas. Limpar uma faz explodir a outra e as vizinhas, dando pontos. Mudam a cada novo conjunto.",Aparecen dos casillas enlazadas. Limpiar una hace explotar la otra y sus vecinas dando puntos. Cambian con cada nueva tirada.,Aparecen dos casillas enlazadas. Limpiar una hace explotar la otra y sus vecinas dando puntos. Cambian con cada nueva tirada.,"Появляются две связанные клетки. Очистка одной взрывает вторую с соседями, давая очки. Они меняются с каждым новым набором.",,連結された 2 マスが出現。片方を消すともう片方と周囲が爆発して得点になります。新しいブロックを引くたびに位置が変わります。,연결된 두 칸이 나타납니다. 한쪽을 지우면 다른 쪽과 주변이 폭발해 점수를 줍니다. 새 블록을 뽑을 때마다 위치가 바뀝니다.,出现两个相连的格子。消除其一会引爆另一个及其周围并得分。每次抽取新方块时位置改变。,出現兩個相連的格子。消除其一會引爆另一個及其周圍並得分。每次抽取新方塊時位置改變。
Card.Card_Patient.Name,Patient,Geduldig,Sabırlı,Paziente,Patient,Cierpliwy,Tålmodig,Paciente,Paciente,Paciente,Paciente,Терпеливый,,忍耐,인내심,耐心,耐心
Card.Card_Patient.Desc,"After 3 placements without a clear, your next clear scores double.",Nach 3 Zügen ohne Reihe gibt die nächste Reihe doppelte Punkte.,"Temizlik yapmadan 3 hamle sonra, sıradaki temizliğin iki kat puan verir.","Dopo 3 piazzamenti senza linee, la prossima linea vale il doppio.","Après 3 placements sans ligne, la prochaine ligne rapporte double.",Po 3 ruchach bez linii następna linia daje podwójne punkty.,Etter 3 plasseringer uten linje gir neste linje dobbelt poeng.,"Após 3 colocações sem linha, a próxima linha vale a dobrar.","Após 3 colocações sem linha, a próxima linha vale a dobrar.","Tras 3 colocaciones sin línea, la siguiente línea puntúa el doble.","Tras 3 colocaciones sin línea, la siguiente línea puntea el doble.",После 3 ходов без линии следующая линия даёт двойные очки.,,ライン消去なしで 3 手経つと、次の消去が 2 倍得点になります。,줄을 지우지 않고 3수가 지나면 다음 줄 제거가 2배 점수를 줍니다.,连续 3 次放置未消行后，下次消行得分翻倍。,連續 3 次放置未消行後，下次消行得分翻倍。
Card.Card_Perfect_Clear.Name,Perfect Clear,Perfekte Räumung,Mükemmel Temizlik,Pulizia perfetta,Nettoyage parfait,Perfekcyjne czyszczenie,Perfekt rydding,Limpeza perfeita,Limpeza perfeita,Limpieza perfecta,Limpieza perfecta,Идеальная очистка,,パーフェクトクリア,퍼펙트 클리어,完美清除,完美清除
Card.Card_Perfect_Clear.Desc,Emptying the entire board grants +100 Blockcoins and +2 combo.,Das Leeren des gesamten Feldes bringt +100 Blockcoins und +2 Combo.,Tahtayı tamamen boşaltmak +100 Blockcoin ve +2 kombo verir.,Svuotare tutto il tabellone dà +100 Blockcoin e +2 combo.,Vider entièrement le plateau donne +100 Blockcoins et +2 combo.,Wyczyszczenie całej planszy daje +100 Blockcoinów i +2 kombo.,Å tømme hele brettet gir +100 Blockcoins og +2 kombo.,Esvaziar todo o tabuleiro dá +100 Blockcoins e +2 de combo.,Esvaziar todo o tabuleiro dá +100 Blockcoins e +2 de combo.,Vaciar todo el tablero da +100 Blockcoins y +2 de combo.,Vaciar todo el tablero da +100 Blockcoins y +2 de combo.,Полная очистка поля даёт +100 Blockcoin и +2 к комбо.,,盤面を完全に空にすると +100 Blockcoin と +2 コンボ。,판을 완전히 비우면 +100 Blockcoin과 +2 콤보.,清空整个棋盘获得 +100 Blockcoin 和 +2 连击。,清空整個棋盤獲得 +100 Blockcoin 和 +2 連擊。
Card.Card_Phantom_Cell.Name,Phantom Cell,Phantomzelle,Hayalet Hücre,Cella fantasma,Cellule fantôme,Widmowa komórka,Fantomcelle,Célula fantasma,Célula fantasma,Celda fantasma,Celda fantasma,Фантомная клетка,,ファントムセル,팬텀 셀,幻影格,幻影格
Card.Card_Phantom_Cell.Desc,A blocked tile counts as filled for line clears but scores nothing. It relocates each time its line is cleared.,"Ein gesperrtes Feld zählt beim Reihenlöschen als gefüllt, gibt aber keine Punkte. Es wandert nach jeder Löschung.",Kapalı bir hücre satır temizliğinde dolu sayılır ama puan vermez. Bulunduğu satır temizlenince yer değiştirir.,Una cella bloccata conta come piena per le linee ma non dà punti. Si sposta dopo ogni pulizia.,Une case bloquée compte comme remplie pour les lignes mais ne rapporte rien. Elle se déplace après chaque nettoyage.,"Zablokowane pole liczy się jako pełne przy liniach, ale nie punktuje. Po każdym czyszczeniu się przenosi.","En sperret rute teller som fylt for linjer, men gir ingen poeng. Den flytter seg etter hver fjerning.",Uma célula bloqueada conta como cheia nas linhas mas não pontua. Muda de sítio após cada limpeza.,Uma célula bloqueada conta como cheia nas linhas mas não pontua. Muda de sítio após cada limpeza.,Una casilla bloqueada cuenta como llena para las líneas pero no puntúa. Se mueve tras cada limpieza.,Una casilla bloqueada cuenta como llena para las líneas pero no puntea. Se mueve tras cada limpieza.,"Заблокированная клетка считается заполненной для линий, но не даёт очков. После каждой очистки перемещается.",,封鎖マスはライン判定では埋まっている扱いですが得点にはなりません。消去のたび別の場所へ移動します。,막힌 칸은 줄 판정에서 채워진 것으로 치지만 점수는 없습니다. 제거될 때마다 다른 곳으로 이동합니다.,封锁格在消行判定中算作已填充，但不计分。每次消除后会移动位置。,封鎖格在消行判定中算作已填充，但不計分。每次消除後會移動位置。
Card.Card_Safe_Zone.Name,Safe Zone,Sichere Zone,Güvenli Bölge,Zona sicura,Zone sûre,Strefa bezpieczna,Trygg sone,Zona segura,Zona segura,Zona segura,Zona segura,Безопасная зона,,セーフゾーン,안전지대,安全区,安全區
Card.Card_Safe_Zone.Desc,Cover the marked tile to keep your combo from falling below 2x. Clearing that tile costs you 8 shapes.,"Bedecke das markierte Feld, damit dein Combo nicht unter 2x fällt. Wird es geräumt, kostet es 8 Formen.",İşaretli hücreyi kapatmak kombonun 2x altına inmesini engeller. O hücreyi temizlemek 8 şekile mal olur.,Copri la cella segnata perché il combo non scenda sotto 2x. Pulirla costa 8 forme.,Couvrez la case marquée pour empêcher le combo de descendre sous 2x. La nettoyer coûte 8 formes.,"Zakryj oznaczone pole, aby kombo nie spadło poniżej 2x. Wyczyszczenie go kosztuje 8 kształtów.","Dekk den merkede ruten så komboen ikke faller under 2x. Fjernes ruten, koster det 8 brikker.",Cobre a célula marcada para o combo não descer abaixo de 2x. Limpá-la custa 8 formas.,Cubra a célula marcada para o combo não descer abaixo de 2x. Limpá-la custa 8 formas.,Cubre la casilla marcada para que el combo no baje de 2x. Limpiarla cuesta 8 figuras.,Cubre la casilla marcada para que el combo no baje de 2x. Limpiarla cuesta 8 piezas.,"Закройте отмеченную клетку, чтобы комбо не падало ниже 2x. Её очистка стоит 8 фигур.",,印のマスを覆うとコンボが 2x 未満に下がりません。そのマスを消すと 8 ブロック失います。,표시된 칸을 덮으면 콤보가 2x 아래로 내려가지 않습니다. 그 칸을 지우면 블록 8개를 잃습니다.,覆盖标记格可防止连击跌破 2x。消除该格将损失 8 个方块。,覆蓋標記格可防止連擊跌破 2x。消除該格將損失 8 個方塊。
Card.Card_Score_Multiplier.Name,Score Multiplier,Punktemultiplikator,Skor Çarpanı,Moltiplicatore punti,Multiplicateur de score,Mnożnik punktów,Poengmultiplikator,Multiplicador de pontos,Multiplicador de pontos,Multiplicador de puntos,Multiplicador de puntos,Множитель очков,,スコア倍率,점수 배율,分数倍率,分數倍率
Card.Card_Score_Multiplier.Desc,All score you earn is increased by 10%.,Alle erhaltenen Punkte steigen um 10%.,Kazandığın tüm skor %10 artar.,Tutti i punti guadagnati aumentano del 10%.,Tous les points gagnés augmentent de 10%.,Wszystkie zdobywane punkty rosną o 10%.,Alle poeng du får økes med 10%.,Todos os pontos ganhos aumentam 10%.,Todos os pontos ganhos aumentam 10%.,Toda la puntuación que ganas aumenta un 10%.,Todo el puntaje que ganas aumenta un 10%.,Все получаемые очки увеличиваются на 10%.,,獲得する得点がすべて 10% 増加します。,획득하는 모든 점수가 10% 증가합니다.,所有获得的分数提高 10%。,所有獲得的分數提高 10%。
Card.Card_Selective_Blindness.Name,Selective Blindness,Selektive Blindheit,Seçici Körlük,Cecità selettiva,Cécité sélective,Wybiórcza ślepota,Selektiv blindhet,Cegueira seletiva,Cegueira seletiva,Ceguera selectiva,Ceguera selectiva,Избирательная слепота,,選択的盲目,선택적 실명,选择性失明,選擇性失明
Card.Card_Selective_Blindness.Desc,Single-line clears score 2x and remove 2 random blocks. Clearing 2 or more lines scores nothing.,Einzelne Reihen geben doppelte Punkte und entfernen 2 zufällige Steine. 2 oder mehr Reihen geben nichts.,Tek satır temizliği 2x puan verir ve rastgele 2 bloğu siler. 2 veya daha fazla satır temizlemek hiç puan vermez.,Una singola linea vale il doppio e rimuove 2 blocchi casuali. Due o più linee non danno nulla.,Une seule ligne rapporte double et retire 2 blocs au hasard. Deux lignes ou plus ne rapportent rien.,Pojedyncza linia daje podwójne punkty i usuwa 2 losowe bloki. Dwie lub więcej linii nie punktują.,Én enkelt linje gir dobbelt poeng og fjerner 2 tilfeldige brikker. To eller flere linjer gir ingenting.,Uma única linha vale a dobrar e remove 2 blocos aleatórios. Duas ou mais linhas não pontuam.,Uma única linha vale a dobrar e remove 2 blocos aleatórios. Duas ou mais linhas não pontuam.,Una sola línea puntúa el doble y elimina 2 bloques al azar. Dos o más líneas no puntúan.,Una sola línea puntea el doble y elimina 2 bloques al azar. Dos o más líneas no puntean.,Одиночная линия даёт двойные очки и убирает 2 случайных блока. Две и более линий не дают очков.,,1 ライン消しは 2 倍得点＋ランダムに 2 ブロック除去。2 ライン以上は得点なし。,한 줄만 지우면 2배 점수와 무작위 블록 2개 제거. 두 줄 이상은 점수가 없습니다.,单行消除得双倍分并随机移除 2 个方块。同时消除 2 行及以上不得分。,單行消除得雙倍分並隨機移除 2 個方塊。同時消除 2 行及以上不得分。
Card.Card_Slow_Burn.Name,Slow Burn,Langsames Feuer,Yavaş Yanış,Combustione lenta,Combustion lente,Powolne spalanie,Langsom brann,Combustão lenta,Combustão lenta,Combustión lenta,Combustión lenta,Медленное горение,,スロウバーン,슬로우 번,慢燃,慢燃
Card.Card_Slow_Burn.Desc,"The first 5 shapes score half, but the last 10 shapes in the pool score triple.","Die ersten 5 Formen geben halbe Punkte, die letzten 10 im Vorrat dreifache.","İlk 5 şekil yarım puan verir, ama havuzdaki son 10 şekil üç kat puan verir.","Le prime 5 forme valgono metà, le ultime 10 della riserva il triplo.","Les 5 premières formes rapportent moitié moins, les 10 dernières de la réserve triple.","Pierwsze 5 kształtów daje połowę punktów, ostatnie 10 z puli – potrójne.","De 5 første brikkene gir halve poeng, de 10 siste i beholdningen gir tredobbelt.","As primeiras 5 formas valem metade; as últimas 10 da reserva, o triplo.","As primeiras 5 formas valem metade; as últimas 10 da reserva, o triplo.","Las primeras 5 figuras puntúan la mitad; las últimas 10 de la reserva, el triple.","Las primeras 5 piezas puntean la mitad; las últimas 10 de la reserva, el triple.","Первые 5 фигур дают половину очков, последние 10 в запасе — тройные.",,最初の 5 個は得点半減、所持ブロックの最後の 10 個は 3 倍になります。,"처음 5개는 점수 절반, 보유 블록의 마지막 10개는 3배가 됩니다.",前 5 个方块得分减半，储备中最后 10 个方块得分三倍。,前 5 個方塊得分減半，儲備中最後 10 個方塊得分三倍。
Card.Card_Soft_Landing.Name,Soft Landing,Sanfte Landung,Yumuşak İniş,Atterraggio morbido,Atterrissage en douceur,Miękkie lądowanie,Myk landing,Aterragem suave,Aterragem suave,Aterrizaje suave,Aterrizaje suave,Мягкая посадка,,ソフトランディング,소프트 랜딩,软着陆,軟著陸
Card.Card_Soft_Landing.Desc,"On a combo reset, the multiplier halves instead of dropping to minimum.","Beim Combo-Reset halbiert sich der Multiplikator, statt auf das Minimum zu fallen.",Kombo sıfırlandığında çarpan en düşük değere düşmek yerine yarıya iner.,"Quando il combo si azzera, il moltiplicatore si dimezza invece di scendere al minimo.","Lors d'une réinitialisation de combo, le multiplicateur est divisé par deux au lieu de tomber au minimum.",Przy resecie kombo mnożnik spada o połowę zamiast do minimum.,Ved komborestart halveres multiplikatoren i stedet for å falle til minimum.,"Quando o combo reinicia, o multiplicador reduz-se a metade em vez de cair ao mínimo.","Quando o combo reinicia, o multiplicador reduz-se a metade em vez de cair ao mínimo.","Al reiniciarse el combo, el multiplicador se reduce a la mitad en vez de caer al mínimo.","Al reiniciarse el combo, el multiplicador se reduce a la mitad en vez de caer al mínimo.","При сбросе комбо множитель уменьшается вдвое, а не падает до минимума.",,コンボが切れたとき、倍率は最小値ではなく半分になります。,콤보가 끊길 때 배율이 최솟값이 아닌 절반으로 줄어듭니다.,连击中断时倍率减半，而非跌至最低值。,連擊中斷時倍率減半，而非跌至最低值。
Card.Cart_Tunnel_Vision.Name,Tunnel Vision,Tunnelblick,Tünel Görüşü,Visione a tunnel,Vision tunnel,Widzenie tunelowe,Tunnelsyn,Visão de túnel,Visão de túnel,Visión de túnel,Visión de túnel,Туннельное зрение,,トンネルビジョン,터널 시야,隧道视野,隧道視野
Card.Cart_Tunnel_Vision.Desc,Vertical clears score 2.5x. Horizontal clears score nothing but still hold the combo.,"Nur senkrechte Reihen geben Punkte (2,5x). Waagerechte geben keine Punkte, halten aber das Combo.",Dikey temizlikler 2.5x puan verir. Yatay temizlikler puan vermez ama komboyu korur.,"Solo le colonne danno punti (2,5x). Le righe orizzontali non danno punti ma mantengono il combo.","Seules les colonnes rapportent des points (2,5x). Les lignes horizontales n'en donnent aucun mais maintiennent le combo.","Tylko pionowe linie dają punkty (2,5x). Poziome nie punktują, ale utrzymują kombo.","Bare loddrette linjer gir poeng (2,5x). Vannrette gir ingen poeng, men holder komboen.","Só as colunas dão pontos (2,5x). As linhas horizontais não pontuam mas mantêm o combo.","Só as colunas dão pontos (2,5x). As linhas horizontais não pontuam mas mantêm o combo.","Solo las columnas dan puntos (2,5x). Las líneas horizontales no puntúan pero mantienen el combo.","Solo las columnas dan puntos (2,5x). Las líneas horizontales no puntean pero mantienen el combo.","Очки дают только вертикальные линии (2,5x). Горизонтальные не дают очков, но сохраняют комбо.",,縦のラインのみ 2.5 倍で得点。横のラインは無得点ですがコンボは維持されます。,세로줄만 2.5배 점수를 줍니다. 가로줄은 점수가 없지만 콤보는 유지됩니다.,只有竖列计分（2.5 倍）。横行不计分但保持连击。,只有豎列計分（2.5 倍）。橫行不計分但保持連擊。
Card.Card_Wide_Pool.Name,Wide Pool,Großer Vorrat,Geniş Havuz,Riserva ampia,Grande réserve,Szeroka pula,Stor beholdning,Reserva ampla,Reserva ampla,Reserva amplia,Reserva amplia,Большой запас,,ワイドプール,넓은 풀,扩容池,擴容池
Card.Card_Wide_Pool.Desc,Maximum pool capacity is increased by 6 shapes.,Der maximale Vorrat steigt um 6 Formen.,Maksimum havuz kapasitesi 6 şekil artar.,La riserva massima aumenta di 6 forme.,La réserve maximale augmente de 6 formes.,Maksymalna pula rośnie o 6 kształtów.,Maksimal beholdning økes med 6 brikker.,A reserva máxima aumenta em 6 formas.,A reserva máxima aumenta em 6 formas.,La reserva máxima aumenta en 6 figuras.,La reserva máxima aumenta en 6 piezas.,Максимальный запас увеличивается на 6 фигур.,,最大所持ブロック数が 6 増えます。,최대 보유 블록 수가 6 증가합니다.,方块储备上限增加 6 个。,方塊儲備上限增加 6 個。
Card.Card_Shape_4gen.Name,4Gen,4Gen,4Gen,4Gen,4Gen,4Gen,4Gen,4Gen,4Gen,4Gen,4Gen,4Gen,,4Gen,4Gen,4Gen,4Gen
Card.Card_Shape_4gen.Desc,"4Gen tiles score +2, but 4Gen appears 5% less often.","4Gen-Steine geben +2 Punkte, aber 4Gen erscheint 5% seltener.","4Gen blokları +2 puan verir, ama 4Gen %5 daha az çıkar.","I blocchi 4Gen danno +2 punti, ma 4Gen appare il 5% in meno.","Les cases 4Gen donnent +2 points, mais 4Gen apparaît 5% moins souvent.","Bloki 4Gen dają +2 punktów, ale 4Gen pojawia się o 5% rzadziej.","4Gen-brikker gir +2 poeng, men 4Gen dukker opp 5% sjeldnere.","Os blocos 4Gen dão +2 pontos, mas 4Gen aparece 5% menos.","Os blocos 4Gen dão +2 pontos, mas 4Gen aparece 5% menos.","Los bloques 4Gen dan +2 puntos, pero 4Gen aparece un 5% menos.","Los bloques 4Gen dan +2 puntos, pero 4Gen aparece un 5% menos.","Блоки 4Gen дают +2 очков, но 4Gen выпадает на 5% реже.",,4Gen のブロックは +2 点、ただし 4Gen の出現率が 5% 下がります。,"4Gen 블록은 +2점, 단 4Gen의 출현 확률이 5% 낮아집니다.",4Gen 方块 +2 分，但 4Gen 的出现率降低 5%。,4Gen 方塊 +2 分，但 4Gen 的出現率降低 5%。
Card.Card_Shape_6Sq.Name,6Square,6-Quadrat,6Kare,6 quadrati,6 carrés,6 kwadratów,6-firkant,6 quadrados,6 quadrados,6 cuadros,6 cuadros,6 квадратов,,6スクエア,6칸 사각,6格方块,6格方塊
Card.Card_Shape_6Sq.Desc,"6Square tiles score +2, but 6Square appears 5% less often.","6-Quadrat-Steine geben +2 Punkte, aber 6-Quadrat erscheint 5% seltener.","6Kare blokları +2 puan verir, ama 6Kare %5 daha az çıkar.","I blocchi 6 quadrati danno +2 punti, ma 6 quadrati appare il 5% in meno.","Les cases 6 carrés donnent +2 points, mais 6 carrés apparaît 5% moins souvent.","Bloki 6 kwadratów dają +2 punktów, ale 6 kwadratów pojawia się o 5% rzadziej.","6-firkant-brikker gir +2 poeng, men 6-firkant dukker opp 5% sjeldnere.","Os blocos 6 quadrados dão +2 pontos, mas 6 quadrados aparece 5% menos.","Os blocos 6 quadrados dão +2 pontos, mas 6 quadrados aparece 5% menos.","Los bloques 6 cuadros dan +2 puntos, pero 6 cuadros aparece un 5% menos.","Los bloques 6 cuadros dan +2 puntos, pero 6 cuadros aparece un 5% menos.","Блоки 6 квадратов дают +2 очков, но 6 квадратов выпадает на 5% реже.",,6スクエア のブロックは +2 点、ただし 6スクエア の出現率が 5% 下がります。,"6칸 사각 블록은 +2점, 단 6칸 사각의 출현 확률이 5% 낮아집니다.",6格方块 方块 +2 分，但 6格方块 的出现率降低 5%。,6格方塊 方塊 +2 分，但 6格方塊 的出現率降低 5%。
Card.Card_Shape_C.Name,C,C,C,C,C,C,C,C,C,C,C,C,,C,C,C,C
Card.Card_Shape_C.Desc,"C tiles score +4, but C appears 8% less often.","C-Steine geben +4 Punkte, aber C erscheint 8% seltener.","C blokları +4 puan verir, ama C %8 daha az çıkar.","I blocchi C danno +4 punti, ma C appare il 8% in meno.","Les cases C donnent +4 points, mais C apparaît 8% moins souvent.","Bloki C dają +4 punktów, ale C pojawia się o 8% rzadziej.","C-brikker gir +4 poeng, men C dukker opp 8% sjeldnere.","Os blocos C dão +4 pontos, mas C aparece 8% menos.","Os blocos C dão +4 pontos, mas C aparece 8% menos.","Los bloques C dan +4 puntos, pero C aparece un 8% menos.","Los bloques C dan +4 puntos, pero C aparece un 8% menos.","Блоки C дают +4 очков, но C выпадает на 8% реже.",,C のブロックは +4 点、ただし C の出現率が 8% 下がります。,"C 블록은 +4점, 단 C의 출현 확률이 8% 낮아집니다.",C 方块 +4 分，但 C 的出现率降低 8%。,C 方塊 +4 分，但 C 的出現率降低 8%。
Card.Card_Shape_Cross.Name,Cross,Kreuz,Artı,Croce,Croix,Krzyż,Kryss,Cruz,Cruz,Cruz,Cruz,Крест,,クロス,십자,十字,十字
Card.Card_Shape_Cross.Desc,"Cross tiles score +2, but Cross appears 3% less often.","Kreuz-Steine geben +2 Punkte, aber Kreuz erscheint 3% seltener.","Artı blokları +2 puan verir, ama Artı %3 daha az çıkar.","I blocchi Croce danno +2 punti, ma Croce appare il 3% in meno.","Les cases Croix donnent +2 points, mais Croix apparaît 3% moins souvent.","Bloki Krzyż dają +2 punktów, ale Krzyż pojawia się o 3% rzadziej.","Kryss-brikker gir +2 poeng, men Kryss dukker opp 3% sjeldnere.","Os blocos Cruz dão +2 pontos, mas Cruz aparece 3% menos.","Os blocos Cruz dão +2 pontos, mas Cruz aparece 3% menos.","Los bloques Cruz dan +2 puntos, pero Cruz aparece un 3% menos.","Los bloques Cruz dan +2 puntos, pero Cruz aparece un 3% menos.","Блоки Крест дают +2 очков, но Крест выпадает на 3% реже.",,クロス のブロックは +2 点、ただし クロス の出現率が 3% 下がります。,"십자 블록은 +2점, 단 십자의 출현 확률이 3% 낮아집니다.",十字 方块 +2 分，但 十字 的出现率降低 3%。,十字 方塊 +2 分，但 十字 的出現率降低 3%。
Card.Card_Shape_Dot.Name,Dot,Punkt,Nokta,Punto,Point,Kropka,Prikk,Ponto,Ponto,Punto,Punto,Точка,,ドット,점,点,點
Card.Card_Shape_Dot.Desc,"Dot tiles score +8, but Dot appears 3% less often.","Punkt-Steine geben +8 Punkte, aber Punkt erscheint 3% seltener.","Nokta blokları +8 puan verir, ama Nokta %3 daha az çıkar.","I blocchi Punto danno +8 punti, ma Punto appare il 3% in meno.","Les cases Point donnent +8 points, mais Point apparaît 3% moins souvent.","Bloki Kropka dają +8 punktów, ale Kropka pojawia się o 3% rzadziej.","Prikk-brikker gir +8 poeng, men Prikk dukker opp 3% sjeldnere.","Os blocos Ponto dão +8 pontos, mas Ponto aparece 3% menos.","Os blocos Ponto dão +8 pontos, mas Ponto aparece 3% menos.","Los bloques Punto dan +8 puntos, pero Punto aparece un 3% menos.","Los bloques Punto dan +8 puntos, pero Punto aparece un 3% menos.","Блоки Точка дают +8 очков, но Точка выпадает на 3% реже.",,ドット のブロックは +8 点、ただし ドット の出現率が 3% 下がります。,"점 블록은 +8점, 단 점의 출현 확률이 3% 낮아집니다.",点 方块 +8 分，但 点 的出现率降低 3%。,點 方塊 +8 分，但 點 的出現率降低 3%。
Card.Card_Shape_I3.Name,I3,I3,I3,I3,I3,I3,I3,I3,I3,I3,I3,I3,,I3,I3,I3,I3
Card.Card_Shape_I3.Desc,"I3 tiles score +2, but I3 appears 5% less often.","I3-Steine geben +2 Punkte, aber I3 erscheint 5% seltener.","I3 blokları +2 puan verir, ama I3 %5 daha az çıkar.","I blocchi I3 danno +2 punti, ma I3 appare il 5% in meno.","Les cases I3 donnent +2 points, mais I3 apparaît 5% moins souvent.","Bloki I3 dają +2 punktów, ale I3 pojawia się o 5% rzadziej.","I3-brikker gir +2 poeng, men I3 dukker opp 5% sjeldnere.","Os blocos I3 dão +2 pontos, mas I3 aparece 5% menos.","Os blocos I3 dão +2 pontos, mas I3 aparece 5% menos.","Los bloques I3 dan +2 puntos, pero I3 aparece un 5% menos.","Los bloques I3 dan +2 puntos, pero I3 aparece un 5% menos.","Блоки I3 дают +2 очков, но I3 выпадает на 5% реже.",,I3 のブロックは +2 点、ただし I3 の出現率が 5% 下がります。,"I3 블록은 +2점, 단 I3의 출현 확률이 5% 낮아집니다.",I3 方块 +2 分，但 I3 的出现率降低 5%。,I3 方塊 +2 分，但 I3 的出現率降低 5%。
Card.Card_Shape_I4.Name,I4,I4,I4,I4,I4,I4,I4,I4,I4,I4,I4,I4,,I4,I4,I4,I4
Card.Card_Shape_I4.Desc,"I4 tiles score +2, but I4 appears 7% less often.","I4-Steine geben +2 Punkte, aber I4 erscheint 7% seltener.","I4 blokları +2 puan verir, ama I4 %7 daha az çıkar.","I blocchi I4 danno +2 punti, ma I4 appare il 7% in meno.","Les cases I4 donnent +2 points, mais I4 apparaît 7% moins souvent.","Bloki I4 dają +2 punktów, ale I4 pojawia się o 7% rzadziej.","I4-brikker gir +2 poeng, men I4 dukker opp 7% sjeldnere.","Os blocos I4 dão +2 pontos, mas I4 aparece 7% menos.","Os blocos I4 dão +2 pontos, mas I4 aparece 7% menos.","Los bloques I4 dan +2 puntos, pero I4 aparece un 7% menos.","Los bloques I4 dan +2 puntos, pero I4 aparece un 7% menos.","Блоки I4 дают +2 очков, но I4 выпадает на 7% реже.",,I4 のブロックは +2 点、ただし I4 の出現率が 7% 下がります。,"I4 블록은 +2점, 단 I4의 출현 확률이 7% 낮아집니다.",I4 方块 +2 分，但 I4 的出现率降低 7%。,I4 方塊 +2 分，但 I4 的出現率降低 7%。
Card.Card_Shape_J.Name,J,J,J,J,J,J,J,J,J,J,J,J,,J,J,J,J
